1,50 Cent,1000
2,Aaliyah,775
3,Aaron Ashmore,750
4,Aaron Hill,398
5,Aaron Hughes,113
6,Aaron Kwok,107
7,Aaron Stanford,346
8,Aaron Staton,702
9,Aaron Yoo,617
10,Aasheekaa Bathija,0
11,Aasif Mandvi,346
12,Abbie Cornish,2000
13,Abby Elliott,201
14,Abby Mukiibi Nkaaga,25
15,Abhishek Bachchan,374
16,Abigail Evans,0
17,Abigail Spencer,1000
18,Abraham Benrubi,562
19,Ace Marrero,94
20,Adam Alexi-Malle,860
21,Adam Arkin,374
22,Adam Baldwin,2000
23,Adam Boyer,503
24,Adam Brown,972
25,Adam Butcher,259
26,Adam Carolla,102
27,Adam Copeland,377
28,Adam DiMarco,382
29,Adam Garcia,811
30,Adam Goldberg,1000
31,Adam Hicks,326
32,Adam Lamberg,738
33,Adam LeFevre,80
34,Adam Ratcliffe,606
35,Adam Rayner,279
36,Adam Rifkin,89
37,Adam Sandler,11000
38,Adam Scott,3000
39,Adam Trese,32
40,Adelaide Kane,810
41,Adel Karam,4
42,Aden Young,238
43,Adhir Kalyan,402
44,Aditya Roy Kapoor,417
45,Adolphe Menjou,99
46,Adriana Barraza,85
47,Adriana Caselotti,82
48,Adrian Alonso,163
49,Adriane Lenox,20
50,Adrian Gonzalez,69
51,Adrian Holmes,126
52,Adrian Lester,317
53,Adrian Martinez,806
54,Adriano Giannini,102
55,Adrian Pasdar,555
56,Adrian Paul,786
57,Adrien Dorval,44
58,Adrienne Barbeau,602
59,Adrienne Frantz,73
60,Adrienne King,121
61,Adrienne Pickering,72
62,Agame Malembo-Emene,2
63,Agata Kulesza,46
64,Agata Trzebuchowska,64
65,Agnes Bruckner,400
66,Agnes Moorehead,960
67,Agnia Ditkovskite,48
68,Ahmad Massad,58
69,Ahmed Best,313
70,Ahmed Hassan,10
71,Ahmet Ertegun,5
72,Ahna O'Reilly,282
73,Ahney Her,198
74,Ah-sung Ko,74
75,Aida Elkashef,5
76,Aida Folch,9
77,Aidan McArdle,266
78,Aidan Quinn,767
79,Aidan Turner,5000
80,Aida Turturro,97
81,Aimee Garcia,618
82,Aimee Teegarden,741
83,Aisha Hinds,343
84,Aisha Tyler,856
85,Aitana Sánchez-Gijón,130
86,Ajay Naidu,120
87,A.J. Buckley,275
88,A.J. DeLucia,3
89,A.J. Langer,254
90,AJ Michalka,559
91,Aki Aleong,284
92,Akie Kotabe,614
93,Akima,282
94,Akira Terao,4
95,Akon,262
96,Aksel Hennie,286
97,Akshaye Khanna,75
98,Alain Delon,936
99,Alana Kaniewski,19
100,Alan Autry,360
101,Alan Bates,122
102,Alan Brent,498
103,Alan Dale,441
104,Alan David,7
105,Alan D. Purwin,2000
106,Alan Ford,422
107,Alan Hale,114
108,Alan Hale Jr.,426
109,Alanna Ubach,584
110,Alan Oppenheimer,271
111,Alan Pietruszewski,93
112,Alan Rickman,25000
113,Alan Ruck,946
114,Alan Taylor,12
115,Alan Van Sprang,147
116,Alan Williams,29
117,Alan Young,639
118,Alastair Duncan,38
119,Alba Rohrwacher,72
120,Albert Brooks,745
121,Albert Delpy,8
122,Albert Dupontel,46
123,Albert Finney,883
124,Albert Maysles,184
125,Albert Salmi,94
126,Al Cliver,22
127,Alden Ehrenreich,1000
128,Aldis Hodge,559
129,Aldo Sambrell,93
130,Alejandro Furth,2
131,Aleksandr Bashirov,7
132,Aleksa Palladino,255
133,Aleksey Chadov,28
134,Aleksey Serebryakov,30
135,Alessandra Mastronardi,159
136,Alessandro Nivola,527
137,Alessandro Preziosi,26
138,Alexa Davalos,850
139,Alexa Havins,209
140,Alexander Gould,1000
141,Alexander Skarsgård,10000
142,Alexander Vlahos,334
143,Alexander Wraith,119
144,Alexandra Breckenridge,1000
145,Alexandra Callas,247
146,Alexandra Holden,326
147,Alexandra Maria Lara,471
148,Alexandra Rapaport,69
149,Alexandra Silber,23
150,Alexandre Rodrigues,40
151,Alexandru Potocean,27
152,Álex Angulo,90
153,Alexa PenaVega,2000
154,Alex Borstein,566
155,Alex Désert,135
156,Alex Emanuel,375
157,Alex Gibney,141
158,Alex Huszar,61
159,Alexia Fast,553
160,Alexia Rasmussen,171
161,Alexis Arquette,285
162,Alexis Biesiada,11
163,Alexis Dziena,715
164,Alexis Kendra,34
165,Alex Jennings,39
166,Alex Karpovsky,272
167,Alex Kendrick,589
168,Alex Lawther,47
169,Alex Macqueen,106
170,Alex McArthur,137
171,Alex Meraz,606
172,Alex Pettyfer,15000
173,Alex Rocco,968
174,Alex Russell,465
175,Alex Sanborn,271
176,Alex Veadov,93
177,Alex Vincent,189
178,Alex Winter,636
179,Alfie Allen,1000
180,Alfred Enoch,1000
181,Al Freeman Jr.,318
182,Alfre Woodard,1000
183,Al Gore,68
184,Alia Shawkat,727
185,Alice Braga,1000
186,Alice Cooper,674
187,Alice Englert,525
188,Alice Evans,227
189,Alice Greczyn,630
190,Alice Krige,368
191,Alice Olivia Clarke,117
192,Alice Playten,73
193,Alice Pol,8
194,Alicia Goranson,173
195,Alicia Keys,551
196,Alicia Sixtos,138
197,Alicia Witt,975
198,Alicia Ziegler,106
199,Alicja Bachleda,289
200,Ali Daniels,15
201,Ali Hillis,597
202,Aliou Touré,0
203,Alisha Boe,113
204,Alison Brie,2000
205,Alison Chand,21
206,Alison Doody,439
207,Alison Lohman,1000
208,Alissa Dean,807
209,Alix Freihage,19
210,Allegra Carpenter,29
211,Allen Covert,328
212,Allen Leech,305
213,Allen Payne,364
214,Al Leong,730
215,Allison Dean,159
216,Allison Miller,479
217,Allison Tolman,562
218,Ally Sheedy,793
219,Ally Walker,349
220,Alma Martinez,56
221,Alona Tal,1000
222,Alonna Shaw,67
223,Al Pacino,14000
224,Al Roker,56
225,Al Sapienza,238
226,Alun Armstrong,192
227,Alycia Debnam-Carey,298
228,Alyson Hannigan,3000
229,Alyson Stoner,2000
230,Amanda Detmer,240
231,Amanda Kearsan,0
232,Amanda MacDonald,15
233,Amanda Mealing,37
234,Amanda Plummer,471
235,Amanda Redman,100
236,Amanda Schull,757
237,Amanda Tilson,58
238,Amanda Troop,196
239,Amanda Wyss,574
240,Amber Armstrong,21
241,Amber Benson,326
242,Amber Marie Bollinger,46
243,Amber Marshall,265
244,Amber Rose Revah,134
245,Amber Stevens West,584
246,Amber Valletta,626
247,Amelia Giancarlo,0
248,Amelia Warner,170
249,America Ferrera,953
250,America Olivo,470
251,Amiah Miller,509
252,Ami Ayalon,0
253,A. Michael Baldwin,174
254,Amidou,35
255,Amir Farrokh Hashemian,35
256,Amir Talai,308
257,Aml Ameen,149
258,Amos Oz,3
259,Amrish Puri,429
260,Amr Waked,903
261,Amy Badberg,0
262,Amy Brenneman,366
263,Amy Bruni,155
264,Amy Carson,4
265,Amy Hargreaves,92
266,Amy Hill,242
267,Amy Irving,194
268,Amy Locane,200
269,Amy Lucas,432
270,Amy Madigan,221
271,Amy Poehler,1000
272,Amy Ryan,423
273,Amy Schumer,492
274,Amy Sedaris,396
275,Amy Steel,59
276,Amy Stewart,28
277,Amy Warren,13
278,Amy Yasbeck,424
279,Ana Claudia Talancón,163
280,Ana de la Reguera,678
281,Ana Gasteyer,215
282,Ana Imnadze,18
283,Ana Maria Guran,0
284,Anamaria Marinca,131
285,Anatoliy Solonitsyn,29
286,Ana Vatamanu,0
287,Anders Holm,365
288,Andrea Corr,57
289,Andrea Di Stefano,30
290,Andrea Frankle,253
291,Andrea Martin,179
292,Andrea Ros,6
293,Andrea Savage,105
294,Andrea Vergara,9
295,Andre Braugher,702
296,André Dussollier,52
297,Andrej Nahtigal,0
298,André Ramiro,15
299,Andrés Montiel,61
300,André the Giant,594
301,Andrew Airlie,205
302,Andrew Bryniarski,390
303,Andrew Bujalski,26
304,Andrew Daly,171
305,Andrew Dice Clay,218
306,Andrew Fiscella,137000
307,Andrew Garfield,10000
308,André Wilms,9
309,Andrew Keegan,835
310,Andrew Keir,13
311,Andrew Lawrence,563
312,Andrew Rannells,416
313,Andrew Robinson,266
314,Andrew Simpson,99
315,Andrew Wilson,387
316,Andy Cohn,0
317,Andy Davoli,146
318,Andy Dick,302
319,Andy Lau,483
320,Andy On,60
321,Andy Richter,179
322,Ane Dahl Torp,13
323,Anella Vastola,0
324,Angela Bettis,294
325,Angela Cartwright,209
326,Angela Featherstone,102
327,Angela Jones,69
328,Ángela Molina,40
329,Angela Nordeng,371
330,Angela Sarafyan,310
331,Angel Coulby,566
332,Angel David,13
333,Angelica Lee,39
334,Angélica Sancio,0
335,Angeliki Papoulia,47
336,Angelina Armani,677
337,Angelina Jolie Pitt,11000
338,Angell Conwell,522
339,Angelo Anthony Pizza,619
340,Angelo Rossitto,60
341,Angelo Tsarouchas,246
342,Angie Dickinson,754
343,Angus Barnett,22
344,Angus Macfadyen,448
345,Angus Sampson,82
346,Angus Scrimm,674
347,Angus T. Jones,1000
348,Anika Noni Rose,525
349,Anil Kapoor,668
350,Anil Kumar,51
351,Anita Briem,311
352,Anita Mui,147
353,Anita Page,77
354,Anjelica Huston,1000
355,Annabella Sciorra,448
356,Annabelle Wallis,421
357,Annabeth Gish,489
358,Anna Friel,735
359,Anna Gunn,1000
360,Anna Harr,290
361,Anna Karina,257
362,Anna Katarina,26
363,Anna Katharina Schwabroh,7
364,Anna Kendrick,10000
365,Anna-Louise Plowman,131
366,Anna Madeley,49
367,Anna Nakagawa,13
368,Anna Silk,857
369,Anna Vareschi,0
370,Ann Dowd,185
371,Anne Archer,249
372,Anne Bancroft,754
373,Anne Hathaway,11000
374,Anne Heche,643
375,Anneliese van der Pol,354
376,Annelyse Ahmad,3
377,Anne-Marie Duff,231
378,Anne Meara,837
379,Anne Parillaud,130
380,Annet Mahendru,411
381,Annette Badland,497
382,Ann Gillis,8
383,Annie Golden,113
384,Annie Parisse,341
385,Ann-Margret,931
386,Ann Miller,302
387,Ann Morgan Guilbert,547
388,Ann Talman,6
389,Anslem Richardson,59
390,Anthony Burrell,8
391,Anthony Chau-Sang Wong,96
392,Anthony 'Citric' Campos,586
393,Anthony Daniels,441
394,Anthony Edwards,495
395,Anthony Heald,173
396,Anthony Hopkins,12000
397,Anthony Johnson,78
398,Anthony LaPaglia,576
399,Anthony L. Fernandez,640
400,Anthony Powell,9
401,Anthony Reynolds,575
402,Anthony Simcoe,82
403,Anthony Zerbe,275
404,Antonia Thomas,381
405,Antoni Corone,97
406,Antonio Arrué,2
407,Antonio de la Torre,82
408,Antonio Sabato Jr.,459
409,Antony Starr,506
410,Anupam Kher,397
411,Anushka Shetty,133
412,Anwar Congo,3
413,April Winchell,183
414,Ara Celi,158
415,Aramis Knight,430
416,Arben Bajraktaraj,121
417,Arcelia Ramírez,69
418,Archie Kao,326
419,Archie Panjabi,883
420,Aretha Franklin,809
421,Ariana Neal,88
422,Ariana Richards,610
423,Ariane Labed,63
424,Ariane Schluter,3
425,Aria Noelle Curzon,263
426,Ariel Gade,87
427,Ariel Hsing,0
428,Aries Spears,83
429,Ari Folman,56
430,Ari Gold,27
431,Ari Graynor,904
432,Arik Ascherman,0
433,Arjun Rampal,564
434,Arliss Howard,152
435,Arly Jover,258
436,Armando Riesco,625
437,Armin Mueller-Stahl,294
438,Armin Rohde,34
439,Armin Shimerman,428
440,Art Carney,154
441,Art Hindle,110
442,Arthur Agee,6
443,Arthur O'Connell,75
444,Art Malik,162
445,Arturo Castro,22
446,Artyom Bogucharskiy,2
447,Aryana Engineer,602
448,Ashanti,341
449,Ash Cook,133
450,Ashleigh Gryzko,103
451,Ashley Ashida Dixon,9
452,Ashley Bell,400
453,Ashley Gerasimovich,77
454,Ashley Hinshaw,371
455,Ashley Laurence,209
456,Ashley Martin,302
457,Ashley Palmer,109
458,Ashley Rickards,986
459,Ashley Scott,794
460,Ashley Tramonte,630
461,Ashley Walters,173
462,Ashley Williams,969
463,Ashraf Barhom,451
464,Asin,634
465,Athina Rachel Tsangari,48
466,Ato Essandoh,265
467,Atom Egoyan,460
468,Atsuko Maeda,12
469,Atticus Shaffer,787
470,Aubrey Poo,2
471,Audrey Fleurot,204
472,August Diehl,282
473,Augustus Prew,405
474,Aunjanue Ellis,400
475,Austin Lyon,80
476,Austin Nichols,663
477,Austin O'Brien,211
478,Austin Pendleton,592
479,Ava Acres,213
480,Ava Gardner,715
481,Avery Schreiber,110
482,Ayelet Zurer,744
483,Ayesha Omar,5
484,Ayla Kell,440
485,Ayush Mahesh Khedekar,40
486,Aziz Muradillayev,0
487,Azura Skye,193
488,Bahare Seddiqi,36
489,Bailee Madison,3000
490,Bai Ling,581
491,Balinese Tari Legong Dancers,0
492,Bálint Péntek,0
493,Balthazar Getty,418
494,Bam Margera,608
495,Barack Obama,871
496,Barbara Bach,238
497,Barbara Billingsley,318
498,Barbara Carrera,133
499,Bárbara Goenaga,36
500,Barbara Hershey,618
501,Barbara Kowalcyk,2
502,Bárbara Mori,594
503,Barbie Castro,185
504,Bari Hyman,10
