1,Cambodia
2,Libya
3,Turkey
4,Germany
5,France
6,Colombia
7,Slovenia
8,Japan
9,Cameroon
10,Russia
11,Denmark
12,New Line
13,Netherlands
14,Official site
15,Nigeria
16,Dominican Republic
17,Egypt
18,Australia
19,Bahamas
20,Georgia
21,Slovakia
22,Argentina
23,Afghanistan
24,Czech Republic
25,West Germany
26,Brazil
27,Israel
28,Chile
29,New Zealand
30,Hungary
31,USA
32,Soviet Union
33,Mexico
34,Finland
35,Taiwan
36,Thailand
37,Peru
38,Kyrgyzstan
39,Aruba
40,Iran
41,Spain
42,South Korea
43,Ireland
44,Hong Kong
45,Iceland
46,Romania
47,Canada
48,China
49,Panama
50,South Africa
51,Kenya
52,Poland
53,Italy
54,Sweden
55,Pakistan
56,Greece
57,UK
58,India
59,Philippines
60,Switzerland
61,Indonesia
62,Belgium
63,United Arab Emirates
64,Norway
65,Bulgaria
