id:int,name:string,facebook_likes:int
1,Aaron Hann,0
2,Aaron Schneider,11
3,Aaron Seltzer,64
4,Abel Ferrara,220
5,Adam Brooks,20
6,Adam Carolla,102
7,Adam Goldberg,1000
8,Adam Green,134
9,Adam Jay Epstein,0
10,Adam Marcus,18
11,Adam McKay,285
12,Adam Rapp,9
13,Adam Rifkin,89
14,Adam Shankman,163
15,Adrian Lyne,213
16,Adrienne Shelly,191
17,Agnieszka Holland,238
18,Agnieszka Wojtowicz-Vosloo,0
19,Agustín Díaz Yanes,13
20,Aki Kaurismäki,592
21,Akira Kurosawa,0
22,Akiva Goldsman,167
23,Akiva Schaffer,82
24,Alain Resnais,752
25,Alan Alda,0
26,Alan Cohn,0
27,Alan Jacobs,2
28,Alan J. Pakula,79
29,Alan Metter,3
30,Alan Parker,317
31,Alan Poul,16
32,Alan Rudolph,18
33,Alan Shapiro,0
34,Alan Taylor,230
35,Alan Yuen,0
36,Albert Brooks,745
37,Albert Hughes,117
38,Alec Asten,5
39,Alejandro Agresti,18
40,Alejandro Amenábar,448
41,Alejandro G. Iñárritu,0
42,Alejandro Monteverde,38
43,Aleksandr Veledinskiy,0
44,Aleksey German,23
45,Alessandro Carloni,5
46,Alexander Payne,729
47,Alexander Witt,38
48,Alexandre Aja,192
49,Alex Cox,92
50,Alex Craig Mann,38
51,Álex de la Iglesia,275
52,Alex Garland,232
53,Alex Gibney,141
54,Alex Kendrick,589
55,Alex Proyas,295
56,Alex Ranarivelo,20
57,Alex Rivera,8
58,Alex Smith,12
59,Alex van Warmerdam,53
60,Alex Zamm,43
61,Alfonso Cuarón,0
62,Al Franklin,0
63,Alfred Hitchcock,13000
64,Alice Wu,13
65,Alison Maclean,7
66,Alister Grierson,24
67,Allan Arkush,13
68,Allan Dwan,23
69,Allen Coulter,47
70,Allen Hughes,90
71,Allison Anders,99
72,Allison Burnett,12
73,Al Silliman Jr.,0
74,Amal Al-Agroobi,58
75,Amanda Gusack,0
76,Amat Escalante,50
77,Amy Heckerling,143
78,Amy Holden Jones,11
79,Analeine Cal y Mayor,4
80,Anand Tucker,14
81,Andrea Arnold,121
82,Andrea Di Stefano,30
83,Andrei Tarkovsky,0
84,André Øvredal,12
85,Andrés Couturier,0
86,Andrés Muschietti,127
87,André Téchiné,25
88,Andrew Adamson,80
89,Andrew Berends,0
90,Andrew Bergman,31
91,Andrew Bujalski,26
92,Andrew Currie,8
93,Andrew Davis,99
94,Andrew Dominik,181
95,Andrew Douglas,15
96,Andrew Erwin,10
97,Andrew Fleming,26
98,Andrew Haigh,131
99,Andrew Hyatt,7
100,Andrew Jarecki,46
101,Andrew Leman,2
102,Andrew Morahan,5
103,Andrew Niccol,487
104,Andrew Stanton,475
105,Andrew Steggall,0
106,Andrew Traucki,10
107,Andrew Wilson,387
108,Andrey Konchalovskiy,96
109,Andrey Zvyagintsev,445
110,Andrucha Waddington,6
111,Andrzej Bartkowiak,43
112,Andy Cadiff,3
113,Andy Fickman,99
114,Andy Garcia,0
115,Andy Tennant,72
116,Angela Robinson,23
117,Angelina Jolie Pitt,11000
118,Angelo Pizzo,14
119,Ang Lee,0
120,Annabel Jankel,5
121,Anna Boden,16
122,Anna Mastro,7
123,Anna Muylaert,9
124,Anne Fletcher,98
125,Anne Fontaine,105
126,Anthony Bell,0
127,Anthony C. Ferrante,48
128,Anthony Hemingway,143
129,Anthony Hickox,16
130,Anthony Mann,75
131,Anthony Minghella,333
132,Anthony O'Brien,7
133,Anthony Powell,9
134,Anthony Russo,94
135,Anthony Silverston,0
136,Anthony Vallone,2
137,Antoine Fuqua,845
138,Anton Corbijn,210
139,Antonia Bird,61
140,Antonio Banderas,0
141,Antonio Simoncini,0
142,Antony Hoffman,14
143,Anurag Basu,116
144,A. Raven Cruz,0
145,Ariel Vromen,34
146,Arie Posin,3
147,Ari Folman,56
148,Ari Kirschenbaum,0
149,Ari Sandel,17
150,Arjun Sablok,0
151,Arthur Hiller,71
152,Asger Leth,20
153,Asghar Farhadi,0
154,Ash Baron-Cohen,3
155,Ash Brannon,9
156,Ashish R. Mohan,2
157,Atom Egoyan,460
158,Audrey Wells,22
159,Ava DuVernay,151
160,Avi Nesher,6
161,Ayan Mukerji,0
162,Babak Najafi,24
163,Babar Ahmed,0
164,Baltasar Kormákur,175
165,Barbet Schroeder,58
166,Barbra Streisand,0
167,Barrett Esposito,0
168,Barry Cook,43
169,Barry Levinson,272
170,Barry Skolnick,0
171,Barry Sonnenfeld,188
172,Barry W. Blaustein,6
173,Bart Freundlich,38
174,Baz Luhrmann,1000
175,Becky Smith,32
176,Beeban Kidron,17
177,Ben Affleck,0
178,Benedek Fliegauf,28
179,Benedikt Erlingsson,4
180,Ben Falcone,265
181,Benh Zeitlin,188
182,Benjamin Dickinson,4
183,Benjamin Roberds,0
184,Ben Lewin,20
185,Bennett Miller,152
186,Benni Diez,2
187,Benny Boom,23
188,Benson Lee,9
189,Ben Stassen,4
190,Ben Stiller,0
191,Ben Wheatley,214
192,Ben Younger,46
193,Bernardo Bertolucci,973
194,Beto Gómez,5
195,Betty Thomas,84
196,Bibo Bergeron,10
197,Bigas Luna,163
198,Bill Benenson,0
199,Bill Condon,386
200,Bill Duke,1000
201,Bille August,55
202,Bille Woodruff,23
203,Bill Melendez,36
204,Bill Muir,19
205,Bill Paxton,0
206,Bill Plympton,45
207,Billy Bob Thornton,0
208,Billy Kent,0
209,Billy Ray,53
210,Billy Wilder,0
211,Blair Erickson,0
212,Blair Hayes,2
213,Blake Edwards,688
214,Blaz Zavrsnik,0
215,Boaz Yakin,132
216,Bobby Farrelly,101
217,Bobby Roth,40
218,Bobcat Goldthwait,800
219,Bob Clark,84
220,Bob Dolman,7
221,Bob Fosse,189
222,Bob Giraldi,34
223,Bob Gosse,10
224,Bob Odenkirk,0
225,Bob Rafelson,30
226,Bob Saget,799
227,Bob Spiers,14
228,Bonnie Hunt,597
229,Boris Rodriguez,5
230,Bo Welch,34
231,Bo Zenga,10
232,Brad Anderson,122
233,Brad Bird,663
234,Brad Copeland,8
235,Brad Furman,65
236,Brad J. Silverman,11
237,Bradley Parker,18
238,Bradley Rust Gray,2
239,Brad Peyton,62
240,Brad Silberling,52
241,Brandon Camp,7
242,Brandon Cronenberg,43
243,Brandon Landers,8
244,Brandon Trost,32
245,Breck Eisner,42
246,Brenda Chapman,59
247,Brendan Malloy,2
248,Brenton Spencer,0
249,Brett Leonard,32
250,Brett Piper,7
251,Brett Ratner,420
252,Brian A Miller,32
253,Brian Baugh,3
254,Brian Caunter,0
255,Brian Dannelly,12
256,Brian De Palma,0
257,Brian Dorton,171
258,Brian Gibson,13
259,Brian Helgeland,241
260,Brian Henson,53
261,Brian Klugman,49
262,Brian Koppelman,34
263,Brian Levant,32
264,Brian Percival,33
265,Brian Robbins,48
266,Brian Trenchard-Smith,53
267,Brian Yuzna,97
268,Britt Allcroft,2
269,Bronwen Hughes,15
270,Bruce Beresford,78
271,Bruce Campbell,0
272,Bruce Dellis,0
273,Bruce Hunt,2
274,Bruce Macdonald,103
275,Bruce Malmuth,6
276,Bruce McCulloch,54
277,Bruce McDonald,49
278,Bruce Paltrow,28
279,Bruno Barreto,9
280,Bryan Barber,16
281,Bryan Singer,0
282,Burr Steers,23
283,Byron Howard,59
284,Cal Brunker,7
285,Callie Khouri,144
286,Cameron Crowe,488
287,Camille Delamarre,11
288,Carl Franklin,73
289,Carlos Carrera,12
290,Carlos Saldanha,107
291,Carlos Saura,98
292,Carl Rinsch,47
293,Carl Theodor Dreyer,147
294,Carmen Marron,29
295,Caroline Link,11
296,Carol Reed,82
297,Carroll Ballard,19
298,Carter Smith,27
299,Cary Bell,0
300,Caryn Waechter,0
301,Cassandra Nicolaou,0
302,Catherine Gund,0
303,Catherine Hardwicke,308
304,Catherine Jelski,0
305,Catherine Owens,0
306,Cathy Malkasian,0
307,Cecil B. DeMille,309
308,Cédric Klapisch,82
309,Cedric Nicolas-Troyan,19
310,C. Fraser Press,0
311,Chad Hartigan,3
312,Chad Kapper,0
313,Chan-wook Park,0
314,Chao-Bin Su,2
315,Charles Adelman,0
