1,"10,000 B.C.             ",,,22,363,,6,5,0,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,,,,,,,7.2,,0
2,Yu-Gi-Oh! Duel Monsters             ,Color,6,24,,,12417,0,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,51,46,8,,,,7,,124
3,Lovesick             ,Color,3,24,,,2651,592,3,http://www.imdb.com/title/tt4051832/?ref_=fn_tt_tt_1,18,3,57,,,,7.9,,0
4,Housefull ,Color,10,144,2016,1165104,8598,1121,5,http://www.imdb.com/title/tt1573072/?ref_=fn_tt_tt_1,43,9,58,,,2010,5.3,,250
5,Ghost Hunters             ,Color,17,60,,,5563,552,0,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,57,3,31,,,,6.6,,373
6,All Is Lost ,Color,346,106,983,6262942,59545,0,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,312,3,31,PG-13,9000000,2013,6.9,2.35,18000
7,Snatch ,Color,151,104,823,30093107,600996,39175,6,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,726,3,57,R,6000000,2000,8.3,1.85,27000
8,My Lucky Star ,Color,11,114,561,50000,322,219,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,2,24,48,,,2013,5.1,2.35,81
9,Falcon Rising ,Color,29,103,668,8691,4952,3089,1,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,32,3,31,R,4500000,2014,5.8,,0
10,ABCD (Any Body Can Dance) ,Color,15,160,1862,95236,5018,1182,3,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,9,58,Not Rated,,2013,6.4,,1000
11,Once Upon a Time in Queens ,,9,98,486,,291,4036,2,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,3,31,R,1500000,2013,6.3,1.89,283
12,Perfect Cowboy ,Color,,109,1286,,8,364,3,http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1,,3,31,,200000,2014,7,,65
13,Avatar ,Color,723,178,920,760505847,886204,4834,0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,3,31,PG-13,237000000,2009,7.9,1.78,33000
14,Pirates of the Caribbean: At World's End ,Color,302,169,800,309404152,471220,48350,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,3,31,PG-13,300000000,2007,7.1,2.35,0
