Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,ANIL,RESIDENCIAL,CASA,3,33900
2013,02,ANIL,RESIDENCIAL,APARTAMENTO,14,55783.49
2013,02,ANIL,RESIDENCIAL,CASA (PROLETARIO),1,6600
2013,02,ANIL,TERRITORIAL,TERRENO,3,4943.21
2013,02,CAJU,RESIDENCIAL,APARTAMENTO,4,7971.41
2013,02,CAJU,NAO RESIDENCIAL,LOJA,6,17139.03
2013,02,CAJU,NAO RESIDENCIAL,SALA,2,2420.1
2013,02,LEME,RESIDENCIAL,APARTAMENTO,16,319335.08
2013,02,MARE,NAO RESIDENCIAL,CASA,1,6323.52
2013,02,TAUA,RESIDENCIAL,CASA,2,3467.58
2013,02,TAUA,RESIDENCIAL,APARTAMENTO,5,24118.03
2013,02,TAUA,NAO RESIDENCIAL,SALA,1,1998.68
2013,02,BANGU,RESIDENCIAL,CASA,13,67264.81
2013,02,BANGU,RESIDENCIAL,APARTAMENTO,9,23860.61
2013,02,BANGU,RESIDENCIAL,CASA/APTO (PROLETARIO),6,5862.41
2013,02,BANGU,TERRITORIAL,TERRENO,5,10666.25
2013,02,BANGU,NAO RESIDENCIAL,ESPECIAL,1,30321.76
2013,02,GAVEA,RESIDENCIAL,CASA,2,192275.17
2013,02,GAVEA,RESIDENCIAL,APARTAMENTO,11,135320.11
2013,02,GAVEA,NAO RESIDENCIAL,LOJA,2,31020.65
2013,02,IRAJA,RESIDENCIAL,CASA,12,64643.61
2013,02,IRAJA,RESIDENCIAL,APARTAMENTO,29,118931.99
2013,02,IRAJA,RESIDENCIAL,CASA/APTO (PROLETARIO),2,6400
2013,02,IRAJA,TERRITORIAL,TERRENO,1,5757
2013,02,IRAJA,NAO RESIDENCIAL,LOJA,1,3126.55
2013,02,IRAJA,NAO RESIDENCIAL,GALPAO,2,22168.28
2013,02,IRAJA,NAO RESIDENCIAL,ESPECIAL,1,15047.68
2013,02,LAGOA,RESIDENCIAL,APART-HOTEL,1,15475.27
2013,02,LAGOA,RESIDENCIAL,APARTAMENTO,19,1092240.34
